주소,아파트명,평단가,세대,사용승인일,버스정류장,지하철역,어린이집,유치원,학교,마트
서울특별시 성동구 도선동 ,성동삼성쉐르빌,5123,342,2020.05.06,523,32,152,320,560,32
서울특별시 성동구 송정동 ,서울숲아이파크,8325,241,2018.06.23,54,342,544,356,765,342
서울특별시 송파구 신전동 ,롯데아이파크,9534,562,2017.12.12,578,223,215,235,12,534
서울특별시 영등포구 당산동 ,신전아파트,2354,232,2016.08.26,248,22,265,245,242,223
서울특별시 강남구 개포동 ,유리아파트,9856,56,2005.03.21,22,322,123,22,156,23
서울특별시 강동구 고덕동 ,동아아파트,5642,563,2020.03.22,23,156,32,125,225,23
서울특별시 강북구 미아동 ,동아아파트,5622,23,2018.03.25,56,32,45,123,55,235
서울특별시 강서구 가양동 ,선비아파트,5611,235,2015.06.23,45,156,145,666,215,223
서울특별시 관악구 남현동 ,컴퓨터빌,2237,224,1996.08.26,455,451,226,123,25,550
서울특별시 동작구 노량진동,핸드더빌,5671,45,1998.03.23,320,125,555,565,13,456
서울특별시 송파구 신전동,A,6574,50,2020.03.25,125,12,125,652,120,56
서울특별시 송파구 신전동,B,6575,49,2020.03.26,125,16,126,653,121,57
서울특별시 송파구 신전동,C,6576,48,2020.03.27,125,32,127,654,122,58
서울특별시 송파구 신전동,D,6577,47,2020.03.28,125,85,128,655,123,59
서울특별시 송파구 신전동,E,6578,46,2020.03.29,125,11,129,656,124,60
서울특별시 송파구 신전동,F,6579,45,2020.03.30,125,5,130,657,125,61
서울특별시 송파구 신전동,G,6580,44,2020.03.31,125,3,131,658,126,62
