지역,살인,강도,강간,절도,폭력,교통사고
종로구,5.7,6.7,242.3,1547.3,2062.3,1152
중구,1.7,8.7,223,1967.7,1979.3,1188
용산구,1.7,3.7,310,1147,2132.3,128
성동구,3,5.7,130.3,1013.7,1426,1103
광진구,5.7,7,254.3,1954.7,1969,1048
동대문구,6.3,6,159.3,1508.3,2102.3,1661
중랑구,6.3,3.3,161.3,1575,2629.7,1608
성북구,5.7,4,177.3,1196.7,1734,1498
강북구,7.3,5.7,190.7,1118.3,2234,1232
도봉구,1,4.3,102.3,734.7,1277,873
노원구,4.3,5.7,186,1486,2441,1590
은평구,5.7,2,204,1410,2162.7,1107
서대문구,3.7,3,194.3,1172.7,1579,1059
마포구,3.7,5.3,489.3,2098.3,2500.7,1675
양천구,3.7,3,128.3,1483.7,1918.3,1426
강서구,10,4.3,297,1887.3,2697.3,1638
구로구,8.3,6.7,268,1786,2735,1498
금천구,5.7,7.3,197.7,1155.3,1855,892
영등포구,14,5.3,400.7,2335,3121.3,2439
동작구,2.7,5,311.7,1235,1722.3,1409
관악구,10,9,379.7,2071.3,2823,1305
서초구,6.3,8.3,518.7,1977.7,2481,2419
강남구,7.3,13,624.3,3034.7,3833,3550
송파구,6,5.7,290,2347.3,3044.7,2837
강동구,4.7,10.7,174,1603.3,2272,1401
